id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
9892246066,41.9955273,-87.7126831,Pho Le 777,restaurant,842664dffffffff,862664d9fffffff,882664d9dbfffff,17031130100
9924842799,41.9043827,-87.6304182,Eduardo's Enoteca,restaurant,842664dffffffff,862664c17ffffff,882664c1edfffff,17031080202
9930256360,42.0120609,-87.6831926,Mi Pueblo Two,restaurant,842664dffffffff,862664d8fffffff,882664d813fffff,17031020400
9932730803,41.9258552,-87.6404595,Egg Tuck,restaurant,842664dffffffff,862664c17ffffff,882664c107fffff,17031070101
9940205692,41.9221253,-87.6443894,Bacino's Pizza,restaurant,842664dffffffff,862664c17ffffff,882664c107fffff,17031071200
9940210654,41.9222566,-87.644552,Xi'an Dynasty Cuisine,restaurant,842664dffffffff,862664c17ffffff,882664c107fffff,17031071200
9950232521,41.9108012,-87.6344795,Philz Coffee,cafe,842664dffffffff,862664c17ffffff,882664c13bfffff,17031080300
9950232523,41.9107294,-87.6344746,Gallucci Pizzeria Napoletana,restaurant,842664dffffffff,862664c17ffffff,882664c13bfffff,17031080300
9955170945,41.8897447,-87.634408,Brown Bag Seafood Co.,restaurant,842664dffffffff,862664c1fffffff,882664c1e7fffff,17031081800
9969724822,41.94709,-87.6549744,Starbucks,cafe,842664dffffffff,862664c17ffffff,882664c161fffff,17031832000
9971098353,41.8818038,-87.6344514,65 Express,restaurant,842664dffffffff,862664c1fffffff,882664c1adfffff,17031839100
9971213328,41.9159285,-87.6876014,Sweet Rice Thai Street Food,restaurant,842664dffffffff,862664cafffffff,882664ca13fffff,17031832400
9973425119,41.9034735,-87.6342875,Can't Believe It's Not Meat,restaurant,842664dffffffff,862664c17ffffff,882664c1edfffff,17031081000
9975255395,42.0120456,-87.6895887,Starbucks,cafe,842664dffffffff,862664d87ffffff,882664d817fffff,17031020400
9975255396,42.0119778,-87.689586,Buffalo Wild Wings,restaurant,842664dffffffff,862664d87ffffff,882664d817fffff,17031020400
9980789866,41.8980143,-87.6871166,Border Taco,restaurant,842664dffffffff,862664cafffffff,882664cac7fffff,17031242500
9980789868,41.9001598,-87.6871949,Do-Over Diner,restaurant,842664dffffffff,862664cafffffff,882664cac7fffff,17031242500
9982632036,41.8956129,-87.6860808,Bacci Pizzeria,restaurant,842664dffffffff,862664cafffffff,882664ca8dfffff,17031242900
9982632038,41.8956893,-87.6788411,Starbucks,cafe,842664dffffffff,862664cafffffff,882664ca89fffff,17031243000
9993591203,41.7798635,-87.6530467,Momentum Coffee,cafe,842664dffffffff,862664cc7ffffff,882664cc21fffff,17031680600
9998509913,41.9257429,-87.6494496,Allende,restaurant,842664dffffffff,862664c17ffffff,882664c107fffff,17031070300
10011934530,41.907701,-87.6735189,Seoul Taco,restaurant,842664dffffffff,862664cafffffff,882664cac1fffff,17031241400
10021311534,41.9599168,-87.7279632,Northside Grill,restaurant,842664dffffffff,862664ca7ffffff,882664ca69fffff,17031160300
10021416377,41.9680707,-87.7264007,Yummy Buffet,restaurant,842664dffffffff,862664ca7ffffff,882664d993fffff,17031140601
10025417602,41.9980608,-87.6599611,Gong Cha,cafe,842664dffffffff,862664d8fffffff,882664d8c3fffff,17031030104
10032623917,41.9006043,-87.6867469,Pizza Friendly Pizza,restaurant,842664dffffffff,862664cafffffff,882664cac7fffff,17031242400
10034726486,41.9241914,-87.6467432,elephant & vine,restaurant,842664dffffffff,862664c17ffffff,882664c107fffff,17031071200
10043182550,41.9272976,-87.704872,Andros Taverna,restaurant,842664dffffffff,862664ca7ffffff,882664ca1dfffff,17031220500
10045011967,41.8674796,-87.6415361,Eppel’s Restaurant;Eppel‘s Restaurant,restaurant,842664dffffffff,862664c1fffffff,882664c1a7fffff,17031841900
